"";"data_set";"inpute_time";"maxiter";"ntree";"parallelize";"miss_values_before";"miss_values_after";"cores"
"elapsed";"datatrain1";168,775;1;25;"no";0;0;2
"elapsed1";"datatrain1";171,621;1;25;"variables";0;0;2
"elapsed2";"datatrain1";170,027;1;25;"forests";0;0;2
"elapsed3";"datatrain1";171,099;1;50;"no";0;0;2
"elapsed4";"datatrain1";169,085;1;50;"variables";0;0;2
"elapsed5";"datatrain1";171,179;1;50;"forests";0;0;2
"elapsed6";"datatrain1";167,29;1;100;"no";0;0;2
"elapsed7";"datatrain1";170,269;1;100;"variables";0;0;2
"elapsed8";"datatrain1";172,82;1;100;"forests";0;0;2
"elapsed9";"datatrain1";168,991;1;250;"no";0;0;2
"elapsed10";"datatrain1";167,037;1;250;"variables";0;0;2
"elapsed11";"datatrain1";169,535;1;250;"forests";0;0;2
"elapsed12";"datatrain1";186,241;2;25;"no";0;0;2
"elapsed13";"datatrain1";188,449;2;25;"variables";0;0;2
"elapsed14";"datatrain1";187,987;2;25;"forests";0;0;2
"elapsed15";"datatrain1";188,206;2;50;"no";0;0;2
"elapsed16";"datatrain1";189,542;2;50;"variables";0;0;2
"elapsed17";"datatrain1";190,89;2;50;"forests";0;0;2
"elapsed18";"datatrain1";186,337;2;100;"no";0;0;2
"elapsed19";"datatrain1";187,766;2;100;"variables";0;0;2
"elapsed20";"datatrain1";188,881;2;100;"forests";0;0;2
"elapsed21";"datatrain1";188,503;2;250;"no";0;0;2
"elapsed22";"datatrain1";188,293;2;250;"variables";0;0;2
"elapsed23";"datatrain1";189,691000000001;2;250;"forests";0;0;2
"elapsed24";"datatrain1";185,738000000001;5;25;"no";0;0;2
"elapsed25";"datatrain1";183,013000000001;5;25;"variables";0;0;2
"elapsed26";"datatrain1";185,204000000002;5;25;"forests";0;0;2
"elapsed27";"datatrain1";187,422;5;50;"no";0;0;2
"elapsed28";"datatrain1";186,92;5;50;"variables";0;0;2
"elapsed29";"datatrain1";188,725;5;50;"forests";0;0;2
"elapsed30";"datatrain1";185,446999999998;5;100;"no";0;0;2
"elapsed31";"datatrain1";186,716;5;100;"variables";0;0;2
"elapsed32";"datatrain1";188,6;5;100;"forests";0;0;2
"elapsed33";"datatrain1";186,519999999999;5;250;"no";0;0;2
"elapsed34";"datatrain1";188,998;5;250;"variables";0;0;2
"elapsed35";"datatrain1";188,894;5;250;"forests";0;0;2
"elapsed36";"datatrain1";187,407000000001;10;25;"no";0;0;2
"elapsed37";"datatrain1";188,558000000001;10;25;"variables";0;0;2
"elapsed38";"datatrain1";187,029;10;25;"forests";0;0;2
"elapsed39";"datatrain1";187,214;10;50;"no";0;0;2
"elapsed40";"datatrain1";184,724;10;50;"variables";0;0;2
"elapsed41";"datatrain1";189,877;10;50;"forests";0;0;2
"elapsed42";"datatrain1";188,583999999999;10;100;"no";0;0;2
"elapsed43";"datatrain1";187,043;10;100;"variables";0;0;2
"elapsed44";"datatrain1";190,548999999999;10;100;"forests";0;0;2
"elapsed45";"datatrain1";186,307000000001;10;250;"no";0;0;2
"elapsed46";"datatrain1";189,640000000001;10;250;"variables";0;0;2
"elapsed47";"datatrain1";190,881000000001;10;250;"forests";0;0;2
"elapsed48";"datatrain1";169,934000000001;1;25;"no";0;0;5
"elapsed49";"datatrain1";168,443000000001;1;25;"variables";0;0;5
"elapsed50";"datatrain1";168,352000000001;1;25;"forests";0;0;5
"elapsed51";"datatrain1";168,219000000001;1;50;"no";0;0;5
"elapsed52";"datatrain1";169,804;1;50;"variables";0;0;5
"elapsed53";"datatrain1";168,139000000003;1;50;"forests";0;0;5
"elapsed54";"datatrain1";170,330999999998;1;100;"no";0;0;5
"elapsed55";"datatrain1";166,68;1;100;"variables";0;0;5
"elapsed56";"datatrain1";170,981;1;100;"forests";0;0;5
"elapsed57";"datatrain1";166,417000000001;1;250;"no";0;0;5
"elapsed58";"datatrain1";170,473999999998;1;250;"variables";0;0;5
"elapsed59";"datatrain1";168,295999999998;1;250;"forests";0;0;5
"elapsed60";"datatrain1";186,450000000001;2;25;"no";0;0;5
"elapsed61";"datatrain1";190,262000000002;2;25;"variables";0;0;5
"elapsed62";"datatrain1";189,470000000001;2;25;"forests";0;0;5
"elapsed63";"datatrain1";186,208999999999;2;50;"no";0;0;5
"elapsed64";"datatrain1";189,290000000001;2;50;"variables";0;0;5
"elapsed65";"datatrain1";191,407999999999;2;50;"forests";0;0;5
"elapsed66";"datatrain1";187,439999999999;2;100;"no";0;0;5
"elapsed67";"datatrain1";185,645;2;100;"variables";0;0;5
"elapsed68";"datatrain1";189,088;2;100;"forests";0;0;5
"elapsed69";"datatrain1";185,900999999998;2;250;"no";0;0;5
"elapsed70";"datatrain1";185,725999999999;2;250;"variables";0;0;5
"elapsed71";"datatrain1";187,131000000001;2;250;"forests";0;0;5
"elapsed72";"datatrain1";184,853999999999;5;25;"no";0;0;5
"elapsed73";"datatrain1";185,790000000001;5;25;"variables";0;0;5
"elapsed74";"datatrain1";189,523000000001;5;25;"forests";0;0;5
"elapsed75";"datatrain1";187,531999999999;5;50;"no";0;0;5
"elapsed76";"datatrain1";185,134999999998;5;50;"variables";0;0;5
"elapsed77";"datatrain1";185,049999999999;5;50;"forests";0;0;5
"elapsed78";"datatrain1";187,275000000001;5;100;"no";0;0;5
"elapsed79";"datatrain1";187,715;5;100;"variables";0;0;5
"elapsed80";"datatrain1";189,771000000001;5;100;"forests";0;0;5
"elapsed81";"datatrain1";190,445;5;250;"no";0;0;5
"elapsed82";"datatrain1";184,562000000002;5;250;"variables";0;0;5
"elapsed83";"datatrain1";191,296000000002;5;250;"forests";0;0;5
"elapsed84";"datatrain1";186,136999999999;10;25;"no";0;0;5
"elapsed85";"datatrain1";185,842000000001;10;25;"variables";0;0;5
"elapsed86";"datatrain1";189,536;10;25;"forests";0;0;5
"elapsed87";"datatrain1";183,651000000002;10;50;"no";0;0;5
"elapsed88";"datatrain1";186,925999999999;10;50;"variables";0;0;5
"elapsed89";"datatrain1";188,918000000001;10;50;"forests";0;0;5
"elapsed90";"datatrain1";185,858;10;100;"no";0;0;5
"elapsed91";"datatrain1";185,715999999997;10;100;"variables";0;0;5
"elapsed92";"datatrain1";189,945;10;100;"forests";0;0;5
"elapsed93";"datatrain1";187,733;10;250;"no";0;0;5
"elapsed94";"datatrain1";185,830000000002;10;250;"variables";0;0;5
"elapsed95";"datatrain1";190,473999999998;10;250;"forests";0;0;5
"elapsed96";"datatrain1";168,074000000001;1;25;"no";0;0;10
"elapsed97";"datatrain1";167,761000000002;1;25;"variables";0;0;10
"elapsed98";"datatrain1";168,934000000001;1;25;"forests";0;0;10
"elapsed99";"datatrain1";166,963;1;50;"no";0;0;10
"elapsed100";"datatrain1";168,666000000001;1;50;"variables";0;0;10
"elapsed101";"datatrain1";168,557999999997;1;50;"forests";0;0;10
"elapsed102";"datatrain1";168,468000000001;1;100;"no";0;0;10
"elapsed103";"datatrain1";171,875;1;100;"variables";0;0;10
"elapsed104";"datatrain1";173,605;1;100;"forests";0;0;10
"elapsed105";"datatrain1";169,677;1;250;"no";0;0;10
"elapsed106";"datatrain1";171,293000000001;1;250;"variables";0;0;10
"elapsed107";"datatrain1";169,360000000001;1;250;"forests";0;0;10
"elapsed108";"datatrain1";185,582999999999;2;25;"no";0;0;10
"elapsed109";"datatrain1";188,433999999997;2;25;"variables";0;0;10
"elapsed110";"datatrain1";190,790000000001;2;25;"forests";0;0;10
"elapsed111";"datatrain1";186,514999999999;2;50;"no";0;0;10
"elapsed112";"datatrain1";183,540999999997;2;50;"variables";0;0;10
"elapsed113";"datatrain1";187,694000000003;2;50;"forests";0;0;10
"elapsed114";"datatrain1";187,222999999998;2;100;"no";0;0;10
"elapsed115";"datatrain1";186,991999999998;2;100;"variables";0;0;10
"elapsed116";"datatrain1";188,192000000003;2;100;"forests";0;0;10
"elapsed117";"datatrain1";184,816999999995;2;250;"no";0;0;10
"elapsed118";"datatrain1";189,214;2;250;"variables";0;0;10
"elapsed119";"datatrain1";191,998999999996;2;250;"forests";0;0;10
"elapsed120";"datatrain1";188,553999999996;5;25;"no";0;0;10
"elapsed121";"datatrain1";188,420000000006;5;25;"variables";0;0;10
"elapsed122";"datatrain1";188,930999999997;5;25;"forests";0;0;10
"elapsed123";"datatrain1";189,701999999997;5;50;"no";0;0;10
"elapsed124";"datatrain1";187,780999999995;5;50;"variables";0;0;10
"elapsed125";"datatrain1";188,347000000002;5;50;"forests";0;0;10
"elapsed126";"datatrain1";184,771000000001;5;100;"no";0;0;10
"elapsed127";"datatrain1";187,436000000002;5;100;"variables";0;0;10
"elapsed128";"datatrain1";189,794999999998;5;100;"forests";0;0;10
"elapsed129";"datatrain1";187,466;5;250;"no";0;0;10
"elapsed130";"datatrain1";186,794999999998;5;250;"variables";0;0;10
"elapsed131";"datatrain1";187,705000000002;5;250;"forests";0;0;10
"elapsed132";"datatrain1";186,345000000001;10;25;"no";0;0;10
"elapsed133";"datatrain1";187,775999999998;10;25;"variables";0;0;10
"elapsed134";"datatrain1";193,745999999999;10;25;"forests";0;0;10
"elapsed135";"datatrain1";187,943999999996;10;50;"no";0;0;10
"elapsed136";"datatrain1";186,101000000002;10;50;"variables";0;0;10
"elapsed137";"datatrain1";188,201999999997;10;50;"forests";0;0;10
"elapsed138";"datatrain1";187,714;10;100;"no";0;0;10
"elapsed139";"datatrain1";187,704999999994;10;100;"variables";0;0;10
"elapsed140";"datatrain1";191,500999999997;10;100;"forests";0;0;10
"elapsed141";"datatrain1";187,683000000005;10;250;"no";0;0;10
"elapsed142";"datatrain1";187,422999999995;10;250;"variables";0;0;10
"elapsed143";"datatrain1";191,961000000003;10;250;"forests";0;0;10
"elapsed144";"datatrain1";166,684000000001;1;25;"no";0;0;20
"elapsed145";"datatrain1";167,928;1;25;"variables";0;0;20
"elapsed146";"datatrain1";168,480000000003;1;25;"forests";0;0;20
"elapsed147";"datatrain1";171,495999999999;1;50;"no";0;0;20
"elapsed148";"datatrain1";167,432999999997;1;50;"variables";0;0;20
"elapsed149";"datatrain1";166,940000000002;1;50;"forests";0;0;20
"elapsed150";"datatrain1";168,005999999994;1;100;"no";0;0;20
"elapsed151";"datatrain1";168,557000000001;1;100;"variables";0;0;20
"elapsed152";"datatrain1";168,887000000002;1;100;"forests";0;0;20
"elapsed153";"datatrain1";167,634999999995;1;250;"no";0;0;20
"elapsed154";"datatrain1";166,404000000002;1;250;"variables";0;0;20
"elapsed155";"datatrain1";169,330999999998;1;250;"forests";0;0;20
"elapsed156";"datatrain1";185,642999999996;2;25;"no";0;0;20
"elapsed157";"datatrain1";186,650000000001;2;25;"variables";0;0;20
"elapsed158";"datatrain1";188,856999999996;2;25;"forests";0;0;20
"elapsed159";"datatrain1";186,626000000004;2;50;"no";0;0;20
"elapsed160";"datatrain1";186,262999999999;2;50;"variables";0;0;20
"elapsed161";"datatrain1";187,184999999998;2;50;"forests";0;0;20
"elapsed162";"datatrain1";184,854999999996;2;100;"no";0;0;20
"elapsed163";"datatrain1";188,044000000002;2;100;"variables";0;0;20
"elapsed164";"datatrain1";188,597000000002;2;100;"forests";0;0;20
"elapsed165";"datatrain1";187,613000000005;2;250;"no";0;0;20
"elapsed166";"datatrain1";182,966;2;250;"variables";0;0;20
"elapsed167";"datatrain1";189,553;2;250;"forests";0;0;20
"elapsed168";"datatrain1";183,625;5;25;"no";0;0;20
"elapsed169";"datatrain1";185,660000000003;5;25;"variables";0;0;20
"elapsed170";"datatrain1";189,805999999997;5;25;"forests";0;0;20
"elapsed171";"datatrain1";186,166000000005;5;50;"no";0;0;20
"elapsed172";"datatrain1";185,633000000002;5;50;"variables";0;0;20
"elapsed173";"datatrain1";189,040000000001;5;50;"forests";0;0;20
"elapsed174";"datatrain1";186,340000000004;5;100;"no";0;0;20
"elapsed175";"datatrain1";185,786999999997;5;100;"variables";0;0;20
"elapsed176";"datatrain1";186,820999999996;5;100;"forests";0;0;20
"elapsed177";"datatrain1";189,362000000001;5;250;"no";0;0;20
"elapsed178";"datatrain1";185,485999999997;5;250;"variables";0;0;20
"elapsed179";"datatrain1";187,521999999997;5;250;"forests";0;0;20
"elapsed180";"datatrain1";185,572999999997;10;25;"no";0;0;20
"elapsed181";"datatrain1";186,109000000004;10;25;"variables";0;0;20
"elapsed182";"datatrain1";189,431999999993;10;25;"forests";0;0;20
"elapsed183";"datatrain1";183,936999999998;10;50;"no";0;0;20
"elapsed184";"datatrain1";188,230000000003;10;50;"variables";0;0;20
"elapsed185";"datatrain1";185,150999999998;10;50;"forests";0;0;20
"elapsed186";"datatrain1";188,179999999993;10;100;"no";0;0;20
"elapsed187";"datatrain1";183,049000000006;10;100;"variables";0;0;20
"elapsed188";"datatrain1";185,076000000001;10;100;"forests";0;0;20
"elapsed189";"datatrain1";185,370999999999;10;250;"no";0;0;20
"elapsed190";"datatrain1";189,016000000003;10;250;"variables";0;0;20
"elapsed191";"datatrain1";185,337;10;250;"forests";0;0;20
